Product Name,Product Spec
OATLY! - Oatly Coffee Oat Beverage -4x1 liters (pParallel import from the UK),4x1L
MONSTER - Monster Ultra Claw Energy Flavored Beverage (White Can) [Original Box] 24x355ml - Parallel Imported,24x355ml
Wong Lo Kat - Herbal tea beverage (paper packaging) 12x250ml-Summer thirst-quenching plant beverage,12x250ml
Maison Perrier - [Full Case] MAGNETIC JUICE Pineapple & Mango Sparkling Beverage Can 250ml x 24cans,250ml x 24 cans
Maison Perrier - FOREVER COLLECTION  Raspberry & Rose Sparkling Water Beverage Glass Bottle 33cl x 4,330ml x 4
Maison Perrier - FOREVER COLLECTION Lime & Ginger Sparkling Water Beverage Glass Bottle 33cl x 4,330ml x 4
"Suntory - 【Full Case 6 Btls】IYEMON Kyoto Green Tea 2L (Japanese Beverage, Direct from Japan, Parallel Import)",2L x6
CHI FOREST - CHI Forest Refreshing Green Bean Water (Plant-Based Beverage) [Original Box] 15 x 500 ml,15x500ml
Authentic Tea House - Authentic Tea House - Gyokuro Green Tea Beverage (No Sugar)(Bottle) - 1x500ml,6x500ml
"Suntory - 【Full Case 6 Btls】IYEMON Kyoto Strong Green Tea 2L (Japanese beverage, Parallel Import)BBD2027/01/31",2L x6
Maison Perrier - FOREVER COLLECTION Citrus & Cherry Blossom Sparkling Water Beverage Glass Bottle 33c x 4,330ml x 4
"Suntory - 【Full Case 24 Btls】IYEMON Kyoto Honey Lemon Tea 600ml (Japanese beverage, direct from Japan)",525ml x24
"SANGARIA - 【Full Case】 Zero Sugar Oolong Tea 500ml (24 Bottles) (Japanese Beverage, Parallel Import)BBD2027/01",500ml x24
San Pellegrino - 原箱 意大利San Pellegrino聖沛黎洛Pompelmo西柚有汽水 原箱(罐裝-24x330ml)Sparkling Beverages Pompelmo (Grapefruit),
Nongfu Spring - Nongfu Spring Oriental Leaf Sugar-Free Oolong Tea 900ml×12 Bottles | Large Bottle Tea Beverage,12x900ml
OATLY! - Oatly Coffee Oat Beverage -2x1 liters (Parallel import from the UK),2x1L
Nongfu Spring - Nongfu Spring Oriental Leaf Sugar-Free Oolong Tea  335ml×6 Bottles |  Tea Beverage,6x335ml
Maison Perrier - [Full Case] CHIC Lemonjito Mocktail Sparkling Beverage Can 250ml x 24,250ml x 24
OATLY! - Oatly Barista Oat Beverage【Made in UK】-3 x 1 Liter # Coffee # Healthy Parallel Import Random Packing,3x1 L
Maison Perrier - [FULL CASE] CHIC Rosellini Mocktail Sparkling Beverage Can 250ml x24 cans,250ml x 24
"Suntory - 【Full Case 24 Btls】CRAFT BOSS Fresh Milk Tea 500ml (Japanese Beverage, Parallel Import)",500ml x24
"Member's Mark - Sam's Club Authentic Oatly Low GI Oat Milk 250mL X18 Bottles Sam's Supermarket Beverages, Grains, Pl",250mL x 18 bottles
Member's Mark - Sam's Club Genuine Olive & Mandarin Orange Juice Tea 230mL x 20 Bottles - Refreshing Summer Beverage,230mLX20 bottle
Glico - glico Beverage Food Fiber Almond Milk 200ml×3 (parallel import),
Authentic Tea House - Authentic Tea House - Gyokuro Green Tea Beverage (No Sugar)(Bottle) - Full Case 24x500ml,24x500ml
Vita - Vita - Full Case Hi-Calcium Low Fat Milk Beverage (250ml x 6 ) x 4,
Authentic Tea House - 原箱 淳茶舍烏龍茶飲料(無糖) 紙包裝 原箱(24x250ml)#8003822 Oolong Tea Beverage (No Sugar)#新舊包裝隨機發貨,
"CHI FOREST - CHI FOREST Loquat and Pear Drink, Plant-Based Beverage, 500ml x 15 bottles |Parallel Import",15×500ml
POCARI SWEAT - Baokuangli Water Special Electrolyte Supplement Beverage (Canned) - Original Box 24x330ml,24x330ml
MORIYAMA - MORIYAMA  Tea Shop Taste Royal Milk Tea Beverage 1000g  parallel imported,皇家奶茶飲品 大容量 1000g
Member's Mark - Sam's Club Authentic Lemon Juice 300ml X6 Bottled Sam's Purchase Lemon Juice Beverage,Official genuine pro
Member's Mark - Sam's Club Authentic Barley Jasmine Bubble Juice Tea 310mLX15 Can Sam's Supermarket Tea Beverage,Official genuine pro
Glico - Glico Beverage Almond Milk Latte Sugar-free 200mIx3(Parallel Import),杏仁奶拿铁
Authentic Tea House - Authentic Tea House - Gyokuro Green Tea Beverage (No Sugar)(Bottle) - 1x500ml,500ml
Member's Mark - Sam's Club Authentic Lemon Juice 300ml X2 Bottled Sam's Purchase Lemon Juice Beverage,Official genuine pro
"Nongfu Spring - Nongfu Spring Tea π Lemon Black Tea, whole case, large bottle, refreshing fruity tea beverage, lemon",taste rich and not
"Suntory - 【Full Case 24 Btls】GREEN DA.KA.RA Mild Barley Tea 680ml (Japanese beverage, direct from Japan)",680ml x24
"Suntory - 【Full Case 24 Btls】IYEMON Kyoto Green Tea 600ml (Japanese beverage, direct from Japan)BBD2026/09/30",600ml x24
"Suntory - 【Full Case 6 Btls】IYEMON Kyoto Green Tea 2L (Japanese Beverage, Parallel Import,New and old Package)",2L x6
Vita - Vita - Full Case low Sugar Chocolate Milk Beverage (250ml x 6 ) x 4,
Nongfu Spring - Nongfu Spring Oriental Leaf Sugar-Free Oolong Tea 900ml×4 Bottles | Large Bottle Tea Beverage,4x900ml
OATLY! - Oatly Coffee Oat Beverage -3x1 liters (Parallel import from the UK),3x1ml
可口可樂 - Coca Cola Soda [High canned 330ml * 6 cans] Classic carbonated beverage Modern can,6x330 ml
CHI FOREST - Alien Electrolyte Water - Vitamin 0 Sugar Beverage - Lime Flavor [1 Bottle]600ml,600ml
POCARI SWEAT - Baokuangli Water Special Electrolyte Supplement Beverage (Canned) - 6x330ml,6x330ml
"Pepsi - Pepsi 330ml * 12 bottles in a full box, large bottles of soda, classic flavored beverage, carbonated",Official authentic p
"LIXIAOAI - Store Manager's Top Recommendation: Li Xiaoei Little Lime Juice 300ml x 6 Bottles, Trendy Beverage -",
Member's Mark - Sam's Club Authentic Nongfu Spring Oriental Leaf Green Citrus Pu'er Compound Tea Beverage 400mLX24 B,Sam's Club offers 24
"Suntory - 【Full Case 6 Btls】Oolong Tea 2L (Japanese Beverage, Parallel Import)BBD026/11/30",2L x6
Ultra-High Vitamin C Freeze-Dried Cili Fruit 200g | Office Brewing Beverage | Healthy Snack,
Member's Mark - Sam's Club Authentic Barley Jasmine Bubble Juice Tea 310mLX15 Can Sam's Supermarket Tea Beverage,Buy Sam's every day
Member's Mark - Sam's Club Authentic Barley Jasmine Bubble Juice Tea 310mLX15 Can Sam's Supermarket Tea Beverage,Sam's Club offers 24
Shipped from Mainland - Sam's Supermarket Proxy Purchase: Itoen Barley Seedling Flavor Beverage 350g*12,350g*12
Member's Mark - Sam's Club Authentic Lemon Juice 300ml X8 Bottled Sam's Purchase Lemon Juice Beverage,Official genuine pro
Member's Mark - Sam's Club Authentic Lemon Juice 300ml X7 Bottled Sam's Purchase Lemon Juice Beverage,Buy Sam's every day
Member's Mark - Sam's Club Authentic Lemon Juice 300ml X7 Bottled Sam's Purchase Lemon Juice Beverage,Official genuine pro
Teisseire - Caramel Sauce｜lused on desserts and beverages｜Made in France,1L
MORIYAMA - MORIYAMA  Tea Shop Taste Royal Milk Tea Beverage 1000g X6 parallel imported,皇家奶茶飲品 大容量 1000gX6支
"SANGARIA - 【Full Case 24 Btls】 Zero Sugar Rich Green Tea 500ml (Japanese Beverage, Parallel Import)BD2027/02/28",500ml x24
"SANGARIA - 【Full Case 24 Btls】 Zero Sugar Green Tea 500ml (Japanese Beverage, Parallel Import)BBD2027/02/28",500ml x24
Member's Mark - Sam's Club Authentic Thai Imported Coconut Beverage 310mLX24 Can Sam's Supermarket Purchasing Bevera,Official genuine pro
Member's Mark - Sam's Club Authentic Heytea Kale Green Melon Compound Fruit and Vegetable Beverage 330mLX12 Bottles,Buy Sam's every day
Member's Mark - Sam's Club Authentic Heytea Kale Green Melon Compound Fruit and Vegetable Beverage 330mLX12 Bottles,Official genuine pro
Member's Mark - Sam's Club Authentic Unified Radiance Nut Milk Plant Protein Beverage 250mL x18 Box,Sam's Club offers 24
Member's Mark - Sam's Supermarket DRINKSBA guava jasmine sparkling juice tea beverage sparkling water beverage juice,正品-山姆直購-24小時發貨-送貨上門
Member's Mark - Sam's Club Authentic Lemon Juice 300ml X9 Bottled Sam's Purchase Lemon Juice Beverage,Official genuine pro
Glico - Glico Beverage Almond Milk Latte Sugar-free 200mIx24 (Parallel Import),杏仁奶拿铁
Member's Mark - Sam's Club Authentic Jiaguoyuan 100% NFC Orange Juice 200mL x 25 Boxes Sam's Purchasing Beverage,Official genuine pro
Member's Mark - Sam's Club Authentic Lemon Juice 300ml X16 Bottled Sam's Purchase Lemon Juice Beverage,Official genuine pro
Member's Mark - Sam's Club Authentic Protein Powder Solid Beverage 800g High Calcium Amino Acid Nutritional Protein,Official genuine pro
SANGARIA - [Japan Made]-Oolong Tea Sugarless Canned - Full Case 340ml,24x340ml
SANKO - Japan Sanko fabo Premium Sugarless Black Coffee Bottle Can – Full Case 275gm / Parallel Imported,24x275g
Lucozade - Full Case - Lucozade Energy Drink-Original Flavour (325ml x 4) x 6,
Suntory - Suntory – Full Case BOSS Coffee Black (250ml ) x 24,
Schweppes - Schweppes - Full Case Soda Water (410ml) x 24,
Vita - Low Sugar Lemon Tea 250ml x 6 x 4 (Random delivery of old and new packings),250ml x 6 x 4
OATLY! - OAT DRINK BARISTA EDITION x 4,1L x 4
Fontana - [Full Case] 100% Pineapple Juice - 1L x 12,1L  x 12
KIRIN - RichGreenTea x 6,
marusan - Pure Organic Soy Milk (loose 6-packs)(Random packaging delivery),
AVALANCHE - (BBD:01/09/2027) 99% SF Mochaccino Instant Coffee Mix 16g x 10 (2747),
Schweppes - [Full case] Sparkling Water Lime Flavoured (410ml X 24),410ml x 24
COOL Water - [Full case] Cool Water  (1.5L x 12) Packing randomly dispatched,1.5L x 12
可口可樂 - Full case - Coca cola regular (330ml X 8) X 3,330ml (8P X 3)
Vita - Low Sugar Chrysanthemum Tea 250ml x 6 x 4,250ML x 6 x 4
Calci-Plus - Soya Hi-Calcium Healthy Drink - Original Flavour (Random delivery of old and new packings),250ml x 6 x 4
Vitasoy - Vitasoy Low Sugar Soya Bean Milk 250ml x 6 x 4 Packs (Packing Randomly Delivery),250ml x 6 x 4
Calci-Plus - Vitasoy Calci-Plus Hi-Calcium Oat Soya Milk 250ml x 6 x 4 Packs (Random delivery of packings),250ml x 6 x 4
Vitasoy - Vitasoy Soya Bean Milk 250ml x 6 x 4 Packs (Packing Randomly Delivery),250ml x 6 x 4
Vita - Chrysanthemum Tea 250ml x 6 x 4,250ml x 6 x 4
Calci-Plus - Vitasoy Calci-Plus Hi-Calcium Almond Milk 250ml x 6 x 4 Packs (Random delivery of old & new packing),250ml x 6 x 4
marusan - Pure Organic Soy Milk 1L(Random packaging delivery),1L
Vitasoy - Vitasoy Pure Low Sugar Black Soya Bean Extract 250ml x 6 x 4 (Random Packaging),250ml x 6 x 4
Vitasoy - Vitasoy Low Sugar Malted Soya Bean Milk 250ml x 6 x 4 Packs,250ml x 6 x 4
OATLY! - OAT DRINK ENRICHED x 4 #Please shake well before drinking,1L x 4
OATLY! - OAT DRINK BARISTA EDITION(Random packaging delivery),1L
POCARI SWEAT - Baokuangli Water Special [Original Box 24 Bottles] Electrolyte Supplement Drink -24x 500 ml,24x500ml
Vita - Hong Kong Style Milk Tea 250ml x 6 x 4,250ml x 6 x 4
OATLY! - OAT DRINK BARISTA EDITION(Random packaging delivery),1L x 6
Vitasoy - Vitasoy Pure Low Sugar Soya Bean Extract 250ml x 6 x 4 Packs (Random Packaging),250ml x 6 x 4
Vita - Guava Juice 250ml x 6 x 4  (Randomly delivery for new & old packing),250ml x 6 x 4
OATLY! - [Full Case] OAT DRINK BARISTA EDITION 1L X 6pcs,1L x 6
Vitasoy - Vitasoy Malted Soya Bean Milk 250ml x 6 x 4 Packs (Packing Randomly Delivery),250ml x 6 x 4
Vita - Apple Juice 250ml x 6 x 4  (Randomly delivery for new & old packing),250ml x 6 x 4
watsons - Watsons - Full Case Pure Distilled Water (430ml ) x 24,
OATLY! - OAT DRINK BARISTA EDITION x 2(Random packaging delivery),1L x 2
marusan - MARUSAN - Pure Organic Soy Milk (3-pack)(Random packaging delivery),
OATLY! - OAT DRINK CHOCOLATE,1L
Vita - Mango Juice 250ml x 6 x 4  (Randomly delivery for new & old packing),250ml x 6 x 4
watsons - Pure Distilled Water,1.8L x 12
Authentic Tea House - Yinhao Jasmine Green Tea (No Sugar) (Bottle) 1.2L x 12 (Random delivery of old and new packings),1.2L x 12
ChocZero - Sugar Free Vegan Dark Chocolate Almond 【藍袋】 Bark with Sea Salt andom packing,170g (15mini packs)
Vita - Blackcurrant Juice 250ml x 6 x 4  (Randomly delivery for new & old packing),250ml x 6 x 4
Highland Spring - [Direct from UK] [FULL CASE] Still Water 1.5L x 6 x2,1.5L x 6 x2
Vita - Ceylon Lemon Tea 250ml x 6 x 4 (Random Packaging),250ML x 6 x 4
Lotte - Milkis Original (PET),500ml x 6
Asahi - PLUS Calpis Sleep & Intestinal Care Yogurt drink 200ml x 24 (Full Case),200ml x 24 (原箱)
OATLY! - OAT DRINK ENRICHED #Please shake well before drinking,1L
DyDo - [Japan Coffee]-DyDo Barista's Choice Black Coffee Bottled -  Full Case 260g (Random Packing),24x260g
ITO EN - Itoen Green Tea 2L x 6 Japanese 4901085614730  [Full Case]  Expiry 2027/01,2L x 6
Suntory - [Full Case] Suntory Green Tea [japanese] 2L x 6 Random packaging expiry  2026/11,2L x 6
Highland Spring - [Direct from UK] [FULL CASE] Still Water 500ml x 24,500ml x 24
Robiff - [Full Case] Robiff Oolong Tea 900ml x 12,900ml x 12
UCC - Blended Coffee x 30,
ITO EN - [Full Case] Ooicha Dark Green Tea 2L x 6 bottle expiry 2026/09,2L x 6
OATLY! - OAT DRINK ENRICHED x 2 #Please shake well before drinking,1L x 2
Red Bull - Red Bull Energy Drink Sugarfree - Full Case 250ml,24x250ml
marusan - Pure Organic Soy Milk 1L x 2 (Random packaging delivery),1L x 2
CheckCheckCin - [Full Case]Apple Hawthorn Rice Water 250ml x 12,250ml x 12
"可口可樂 - Coca Cola [Japan Green Tea]-Ayataka Chaba-No-Amami Pet Bottle – 6 x 650ml (Expiry Date: 25,Oct,2026)",6 Bottles x 650ml
ITO EN - [Full Case] Itoen Green Tea 600ml x 24 [Random Packing] (192009/003800) expiry 2026/09,600ml x 24
Asahi - [Full Case] Dry Zero Beer 350ml x24 (#030003) (Random delivery)Parallel Import),350ml x24
Highland Spring - [Direct from UK] [FULL CASE] Still Water 500ml x 24 x2,500ml x 24 x2
東鵬 - Eastroc Natural Drinking Water 555ML*24 Bottles Hong Kong Version Original Carton Genuine Product,555ml x 24Bottles
POKKA SAPPORO - [Japan Made] Hokkaido (Sugarless/Caffeine Free) Roasted Corn Tea Bottle - Full Case 525ml,24x525ml
UCC - [New Packing 230g] Gold Special Coffee Bean 230g - Rich Blend (158162/紅豆)(Random Delivery),230g
Suntory - 三得利 伊右衛門 (新) 柚子香 綠茶(樽裝) 6x600毫升,6x600ml
Unleash'd ORGANIC - Organic Aronia Berry Powder/Chokeberry Powder 1LB (453g) USDA Organic Certified,1LB(453g)
【 60 packs X1.5g 】 Chamomile Flower Tea Bag,
VPLUS Lifestyle Shop - #7  Italian Caramelozed Hazelnut Mocha Coffee Beans #2024 IIAC Gold Medal  #D73 (120G BBD: 9 FEB 27),120g
SANLIN - SANLIN 100% 泰國 椰青水Coconut Water - Full Case 1L,6x1L
Kikkoman - Japan Plain Soymilk Unsweetened 1 Litre x 3 #豆漿#香港原裝行貨,Japan No.1 Brand
HAITAI - Bon Bon Grape Juice Drink With Sac 238ml x 12,
Suntory - Green DA.KA.RA Mild Barly Tea Sugarless Caffeine Free [Parallel Import],24x680ml
ITO EN - Golden Oolong Tea 500ml x 6 4901085614372 expiry 2026/10,500ml x 6
G7 COFFEE - Pure Black Coffee (2g❎100)Americano American Coffee[parallel goods],2g x 100packs
KIRIN - [Full Case] Body Free Non-Alcoholic Beer 350ml x24(#092140) (Random delivery)(Parallel,350ml x24
COOL Water - [Full case] Cool Water (750ml x 24) Packing randomly dispatched,750ml X 24
GLAM.D - Digestive Enzyme Powder【Sweet Potato】 (30 packs x 4g) (88099827685000) EXP..2027 (parallel import),4g x 30 pcs
"HealthWorks - American Ginseng, Ephemerantha & Ophiopogonis Root Tea #HerbalTea #Drink (Chilled 0-4℃)",
Suntory - BOSS Luxury Less Sugar Coffee 185g X 30Cans (#235335) (Random Delivery),185g X30
Vitamont - Sicilian Organic Pure Lemon Juice 2 bottles (250ML) | Best Before Date:03/06/2027 (D/M/Y),2 x 250ml
AGF - (24 Sticks)Blendy Stick Cafe Au Lait Unsweetened Sticks coffee▼H2(00300)(Parallel Import),7.8g×24 Sticks
SINGHA - Soda Water x 24 (Box)(New and old packaging will be sent randomly)(Exp:Y/M/D-2027/07+),
Highland Spring - [Direct from UK] [FULL CASE] Still Water 1.5L x 6,1.5L x 6
Vita - Apple Jasmine Green Tea Drink 500ml x 6 (Random Delivery),500ml x 6
HealthWorks - (2 Bottles) TuFuLing Tea for Clearing the Liver and Removing Toxic Substances #Drink (Chilled 0-4℃),
UCC - [Japan Coffee]-Syokunin-No-Coffee (Black) Sugarless Pet Bottle - Full Case,12x900ml
"Uni-President - 統一 - Chai Li Won Sugar-Free Jasmine Tea Bottled - Full Case(Random Packing) (Exp Date: 06,Oct,2026)",24x420ml
Bonaqua - [原箱]飛雪礦物質水770毫升 x24 bonaqua mineralized water 770ml x24 [Full Case],
TW - [Full Case] Rose Jasmine Tea Bag X 12,2.5克 x 10包 x 12盒
AQUA NOBEL - [2 Cases] Swedish Natural Alkaline Spring Water #Tetra Pack (Best Before: 14 Jan 2028) - 38880080A,500ML X 24
UCC - [Full Case] ucc Black coffee Cold Brew 500ml x 24 Random Packing  4901201156731 expiry 2026/12,500ml x 24
Asahi - Asahi [Japan Coffee]-Wonda Koku-No-Fukami Black Coffee Bottled - Full Case 400gm (Random Packing),24x400gm
Bonaqua - Full case - Bonaqua Mineralized Water (770ml ) 24 bottles,770ml X 24 bottles
ITO EN - Japan Strong Flavor Green Tea 2L × 2 4901085609576 expiry 2026/09,2L × 2
Asahi - Asahi [Japan Coffee]-Wonda Koku-No-Fukami Rich Café Au Lait Coffee Bottled - Full Case 370gm,24x370gm
marusan - Mainichi Oishii Roasted Almond Milk Paper Pack – Full Case 1L- Marusan 丸山 Japan Made-Sugar Free,6x1L (1000ml)
Suntory - Suntory  Natural Water 2L x 6(Random Packing),2L x 6支
"KIRIN - Kirin [午後の紅茶]-Gogo-No-Kocha Lemon Tea Pet Bottle - Full Case (Random Packing)(Expiry Date: Nov,2026)",24x500ml
"G7 COFFEE - American instant sugar free black coffee (2 grams, 100 packs) imported in parallel",2g x 100packs
Nongfu Spring - Nongfu Spring Natural Water (Hong Kong Edition) — 5L x 4 Bottles | Sourced from Premium Natural Spri,4×5L
東鵬 - Eastroc Natural Drinking Water 380ML*24 Bottles Hong Kong Version Original Carton Genuine Product,380ml x 24Bottles
POCARI SWEAT - Pocari Sweat Ion Supply Drink Bottled - Full Case 900ml,12x900ml
evian - Evian [Full Case] -  Evian Natural Mineral Water -24x 500 ml,24x500ml
Uni-President - 統一 - Uni Presidet Milk Tea Bottled - Full Case 500ml [110270],15x500ml
UCC - UCC [Japan Coffee]-Black Sugarless Coffee Recap Bottled - Full Case 375gm (Random Packing)[110192B],24x375gm
Tao Ti - Tao Ti Honey Green Tea (Low Sugar) - Full Case 250ml,250ML x 24 Bag
Bonaqua - [Full case] Mineralized Water (770ml X 24),770ml X 24
HeySong - C&C Grape Sparkling Drink (Grape) 330ml x 6 can (此日期前食用: 02/12/2026),
Spiral - m.Bonsoy soymilk /1Lx6  (Best before date: 04-11-2027),
Asahi - Asahi Wonda Kokunohukami Black Coffee Bottle Can 400g x 24pcs [Parallel Import] [Random Packing],
Calci Plus - 原箱 鈣思寶高鈣植物固醇豆奶(淺藍色盒)(24x250ml)#05604 Calci-Plus Hi-Calcium Plant Sterol Soya milk中國或香港產地版本隨機出貨,
Robiff - [Full Case] Robiff Oolong Tea 500ml x 24 bottles 4891379161289,500ml x 24
Suntory - Suntory Japan - Kuro Oolong Tea Bottle 3x1.05L,3x1.05L(1050ml)
Suntory - Suntory [Japan Green Tea]-Iyemon Green Tea Pet Bottle - Full Case 600ml (Random Packing),24x600ml
中原 - Three in One Instant Dissolved White Coffee (17g X 46 packs) Parallel Imported,17g x 46packs
KIRIN - Kirin [Japan Tea]-Nama-Cha Green Tea Bottled - Full Case 2L,6x2L
HealthWorks - TuFuLing Tea for Clearing the Liver and Removing Toxic Substances #HerbalTea #Drink (Chilled 0-4℃),
東鵬 - Eastroc Vitamin Energy Drink 500ML * 24 Bottles per Case Hong Kong Version Original Box,500ml x 24Bottles
Schweppes - Sparkling Water Lime Flavoured (410ml X 6),410ml x 6
10號店飲品 - 朝霧 MT. Fuji Natural Water Contains Vanadium Bottled – Full Case 2L Parallel Imports Japan Water,6x2L
東鵬 - Eastroc Island Coconut Fresh Pressed Coconut Juice Hong Kong Version Original Box 330ml*24 Bottles,330ml x 24Bottles
Asahi - Asahi [Japan Tea] - Lipolysis Puerh Tea & Oolong Tea Pet Bottle - Full Case 2L,6x2L
KIRIN - Lemon Tea  Afternoon Tea 500ml x 6 Random Packaging 4909411084875 Expiry 2026/10,500ml x 6
"HealthWorks - Sea Coconut, Sichuan Fritillary & Apricot Kernel Tea #HerbalTea #Drink (Chilled 0-4℃)",
"Nongfu Spring - Nongfu Spring Oriental Leaf Chrysanthemum Puer Tea (Original Case of 15 x 500ml) | Sugar-Free, 0 Cal",15x500ml
DEVONDALE - Full Cream Devondale Milk Australia - Full Case 1L,10x1L
Nongfu Spring - Nongfu Spring - [Original Box 24 Bottles] Changbaixue Natural Snow Mountain Mineral Water 535ml x 24,24x535ml
中原 - Grinding No. 1 coffee powder -250g # Robusta coffee powder parallel import,250g
Daioni organic - 綠牛牛 Daioni Organic Cows Semi-Skimmed Milk Fat 1.6% - Full Case 1L (Green),12x1L
KIRIN - [Full Case] Afternoon Tea Lemon Tea 500ml x 24 Random Packaging Expiry 2026/12,500ml x 24
星巴克 - House Blend Americano Coffee Capsules [Applicable to NESCAFÉ® Dolce Gusto® Coffee Machine](C),1 box x 12 servings
You C1000 - You C1000 Vitamin Health Drink Lemon(Glass Bottle) - Full Case 140ml,30x140ml
Yumthé - ROOIBOS TEA Naturally malty and treacle taste of healthy African treasure caffeine-free,2.5g X 15
SOC - ONSENSUI99 Healthy SPRING WATER (Mineral Water) 500ml x 24 (Full Case),500ml x 24
UCC - [Japan Coffee]-Black Cold Brew Sugarless Coffee Pet Bottle - Full Case 500ml(Random Packing),24x500ml
KIRIN - KIRIN [Full Case] Rich Green Tea 2L x 6 Random Packing Expiry 2026/11,2L x 6
NESCAFÉ - Full case - Nescafe Can 250ml - full case 24P,250ml x 24
Nongfu Spring - Oriental Leaf Tea [Original Box 12 Bottles] Sugar free Jasmine Tea 900ML x12 (Parallel Import),12x900ML
Suntory - Suntory [Japan Green Tea]-Iyemon Green Tea Pet Bottle - 6 Bottles x 600ml (Random Packing),6 Bottles x 600ml
CR C'ESTBON - Cestbon Chrysanthemum Tea Full Case - (450ml) x 15,
KAGOME - Kagome Japan Made 100% Vegetable Fruit Mix Juice Original Paper Pack - Full Case 200ml - 7921,24x200ml
evian - [Dealer's Goods of HK] [Full Case]膠樽裝France Evian Natural Mineral Water (750ml X 12)packing randomly,750ml x 12
NESCAFÉ - Full case - Korean Café Collection Cold Brew Black Coffee(Can) 370 ml x 20P,370ml x 20
VAN HOUTEN - Kataoka Pure Cocoa Powder 100g Flavour Free No Additives Sugar Free Pure Cocoa Powder Chocolate,
LORINA - Lorina Traditional Lemonade x 12 bottles,330ml x 12
Chang - (Glass Bottle) Chang Soda Water - Full Case 24x325ml,24x325ml
Suntory - Suntory Osmanthus Oolong Tea Bottled - Full Case 500ml,15x500ml
Pepsi - Japan Pepsi Nama [生] Cola Canned - Full Case 340ml/ Suntoryペプシ 生 Parallel Import,24x340ml
TW - [Full Case] Osmanthus Oolong Tea Bag X 12,2.5g x10 Sachetsx 12
Bonaqua - Full case - Bonaqua Mineralized Water ( 500ml) 24 bottles,500ml X 24 bottles
可口可樂 - [Japan Made] I LOHAS Natural Mineral Water – Full Case 2L-[Parallel Import]- コカ・コーラい・ろ・は・す 天然水,6x2L
UCC - UCC Coffee 185ml x 30 [Parallel import],
Suntory - [Japan Tea]-Oolong Tea Pet Bottle - Full Case 2L,6x2L
賓得寶 - [Full Case] Ginger Beer 375ml x 12,12 x 375ml
"Chang - Chang Sparkling Water 24x325ml Glass Bottles - Case (Tray Pack, Chinese Label)Random Packaging",24x325ml
SANGARIA - Japanese Matcha Green Tea 600ml X 24 Bottles(#116444)(BBD:2026.12.31)Random delive,600ml x24
"IRIS OHYAMA - IRIS OHYAMA – Japan MT. Fuji Natural Mineral Water Bottled – Full Case 2L, Parallel Impo",6x2L
AVALANCHE - (BBD:12/05/2027) 99% SF Drinking Chocolate 20g x 10(0063),
HealthWorks - Capillary Wormwood Herb & Abrum Cantonese Plant Tea #LowSugar #HerbalTea #Drink (Chilled 0-4℃),
Awastea - Red Bean Black Rice Jobs Tears Water 12 Pieces/Pack,
